428641000	Misc
428673006	Misc
415703001	Misc
415702006	Misc
404218003	Misc
258773002	Misc
258684004	Misc
258997004	Misc
372464004	Misc
261100002	Misc
72607000	Misc
417255000	Misc
255559005	Misc
255560000	Misc
46713006	Misc
6064005	Misc
26643006	Misc
16857009	Misc
448598008	Misc
37161004	Misc
37839007	Misc
127492001	Misc
229797004	Frequency
229799001	Frequency
229798009	Frequency
307439001	Frequency
307440004	Frequency
307165006	Misc
717154004	Misc
24863003	Misc
73775008	Misc
3157002	Misc
225762007	Misc
422135004	Misc
258701004	Misc
258702006	Misc
258703001	Misc
258705008	Misc
258706009	Misc
225768006	Frequency
225750008	Frequency
225753005	Frequency
225756002	Frequency
307468000	Frequency
307469008	Frequency
307470009	Frequency
225760004	Frequency
225769003	Frequency
229800002	Frequency
229804006	Frequency
307445009	Frequency
307446005	Frequency
307447001	Frequency
20050000	Frequency
51199007	Frequency
89185003	Frequency
